Country,Clicks,Impressions,CTR,Position
United States,0,751,0%,69.41
Canada,0,18,0%,54.5
Philippines,0,9,0%,55.56
Brazil,0,7,0%,5
France,0,6,0%,54.67
Mexico,0,4,0%,4
Israel,0,4,0%,10.75
India,0,4,0%,17.25
Germany,0,4,0%,18.5
Australia,0,3,0%,9.33
Iceland,0,3,0%,76.67
United Kingdom,0,2,0%,3
Vietnam,0,2,0%,3
South Africa,0,2,0%,11.5
Latvia,0,2,0%,74.5
Estonia,0,2,0%,78
Luxembourg,0,2,0%,82
Colombia,0,1,0%,2
Gabon,0,1,0%,2
Indonesia,0,1,0%,2
Sweden,0,1,0%,2
Ethiopia,0,1,0%,3
Myanmar (Burma),0,1,0%,3
Saudi Arabia,0,1,0%,3
Taiwan,0,1,0%,3
Morocco,0,1,0%,4
Peru,0,1,0%,4
Spain,0,1,0%,5
Netherlands,0,1,0%,5
Belgium,0,1,0%,8
Italy,0,1,0%,9
Nigeria,0,1,0%,9
Malaysia,0,1,0%,11
Ireland,0,1,0%,16
Argentina,0,1,0%,30
Costa Rica,0,1,0%,37
Venezuela,0,1,0%,49
Pakistan,0,1,0%,50
Lithuania,0,1,0%,72
Denmark,0,1,0%,78
Austria,0,1,0%,81
Bahamas,0,1,0%,92
United Arab Emirates,0,1,0%,97